pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2015-01-15,47962,47962,47962,47962,47962
2015-01-16,59926,59926,59926,59926,59926
2015-01-17,64628,64628,64628,64628,64628
2015-01-18,55068,55068,55068,55068,55068
2015-01-19,35777,35777,35777,35777,35777
2015-01-20,40914,40914,40914,40914,40914
2015-01-21,43276,43276,43276,43276,43276
2015-01-22,46260,46260,46260,46260,46260
2015-01-23,54857,54857,54857,54857,54857
2015-01-24,58631,58631,58631,58631,58631
2015-01-25,52950,52950,52950,52950,52950
2015-01-26,29869,29869,29869,29869,29869
2015-01-27,15406,15406,15406,15406,15406
2015-01-28,42508,42508,42508,42508,42508
2015-01-29,47965,47965,47965,47965,47965
2015-01-30,62944,62944,62944,62944,62944
2015-01-31,70797,70797,70797,70797,70797
2015-02-01,58157,58157,58157,58157,58157
2015-02-02,42210,42210,42210,42210,42210
2015-02-03,48291,48291,48291,48291,48291
2015-02-04,47368,47368,47368,47368,47368
2015-02-05,55008,55008,55008,55008,55008
2015-02-06,62135,62135,62135,62135,62135
2015-02-07,67182,67182,67182,67182,67182
2015-02-08,56341,56341,56341,56341,56341
2015-02-09,43505,43505,43505,43505,43505
2015-02-10,45711,45711,45711,45711,45711
2015-02-11,49009,49009,49009,49009,49009
2015-02-12,54720,54720,54720,54720,54720
2015-02-13,70191,70191,70191,70191,70191
2015-02-14,76426,76426,76426,76426,76426
2015-02-15,64362,64362,64362,64362,64362
2015-02-16,46933,46933,46933,46933,46933
2015-02-17,41800,41800,41800,41800,41800
2015-02-18,48362,48362,48362,48362,48362
2015-02-19,59130,59130,59130,59130,59130
2015-02-20,64721,64721,64721,64721,64721
2015-02-21,64136,64136,64136,64136,64136
2015-02-22,53861,53861,53861,53861,53861
2015-02-23,53011,53011,53011,53011,53011
2015-02-24,50161,50161,50161,50161,50161
2015-02-25,50958,50958,50958,50958,50958
2015-02-26,56717,56717,56717,56717,56717
2015-02-27,68585,68585,68585,68585,68585
2015-02-28,75839,75839,75839,75839,75839
2015-03-01,53354,53354,53354,53354,53354
2015-03-02,46653,46653,46653,46653,46653
2015-03-03,51223,51223,51223,51223,51223
2015-03-04,51819,51819,51819,51819,51819
2015-03-05,42207,42207,42207,42207,42207
2015-03-06,63909,63909,63909,63909,63909
2015-03-07,73297,73297,73297,73297,73297
2015-03-08,57377,57377,57377,57377,57377
2015-03-09,44832,44832,44832,44832,44832
2015-03-10,51179,51179,51179,51179,51179
2015-03-11,50252,50252,50252,50252,50252
2015-03-12,54166,54166,54166,54166,54166
2015-03-13,64178,64178,64178,64178,64178
2015-03-14,71314,71314,71314,71314,71314
2015-03-15,60306,60306,60306,60306,60306
2015-03-16,44450,44450,44450,44450,44450
2015-03-17,50346,50346,50346,50346,50346
2015-03-18,51635,51635,51635,51635,51635
2015-03-19,52935,52935,52935,52935,52935
2015-03-20,61968,61968,61968,61968,61968
2015-03-21,69231,69231,69231,69231,69231
2015-03-22,62057,62057,62057,62057,62057
2015-03-23,46717,46717,46717,46717,46717
2015-03-24,45811,45811,45811,45811,45811
2015-03-25,50370,50370,50370,50370,50370
2015-03-26,53254,53254,53254,53254,53254
2015-03-27,63319,63319,63319,63319,63319
2015-03-28,76226,76226,76226,76226,76226
2015-03-29,61984,61984,61984,61984,61984
2015-03-30,45070,45070,45070,45070,45070
2015-03-31,51135,51135,51135,51135,51135
2015-04-01,51943,51943,51943,51943,51943
2015-04-02,55928,55928,55928,55928,55928
2015-04-03,60434,60434,60434,60434,60434
2015-04-04,68373,68373,68373,68373,68373
2015-04-05,58745,58745,58745,58745,58745
2015-04-06,43483,43483,43483,43483,43483
2015-04-07,47404,47404,47404,47404,47404
2015-04-08,50396,50396,50396,50396,50396
2015-04-09,51804,51804,51804,51804,51804
2015-04-10,59253,59253,59253,59253,59253
2015-04-11,72944,72944,72944,72944,72944
2015-04-12,60888,60888,60888,60888,60888
2015-04-13,44318,44318,44318,44318,44318
2015-04-14,44103,44103,44103,44103,44103
2015-04-15,48469,48469,48469,48469,48469
2015-04-16,53163,53163,53163,53163,53163
2015-04-17,60053,60053,60053,60053,60053
2015-04-18,75616,75616,75616,75616,75616
2015-04-19,64273,64273,64273,64273,64273
2015-04-20,46724,46724,46724,46724,46724
2015-04-21,44991,44991,44991,44991,44991
2015-04-22,50457,50457,50457,50457,50457
2015-04-23,55777,55777,55777,55777,55777
2015-04-24,65736,65736,65736,65736,65736
2015-04-25,75469,75469,75469,75469,75469
2015-04-26,62190,62190,62190,62190,62190
2015-04-27,44694,44694,44694,44694,44694
2015-04-28,44227,44227,44227,44227,44227
2015-04-29,49132,49132,49132,49132,49132
2015-04-30,53407,53407,53407,53407,53407
2015-05-01,66187,66187,66187,66187,66187
2015-05-02,81574,81574,81574,81574,81574
2015-05-03,65671,65671,65671,65671,65671
2015-05-04,45273,45273,45273,45273,45273
2015-05-05,47745,47745,47745,47745,47745
2015-05-06,50446,50446,50446,50446,50446
2015-05-07,54721,54721,54721,54721,54721
2015-05-08,63470,63470,63470,63470,63470
2015-05-09,73424,73424,73424,73424,73424
2015-05-10,64676,64676,64676,64676,64676
2015-05-11,46426,46426,46426,46426,46426
2015-05-12,47026,47026,47026,47026,47026
2015-05-13,51867,51867,51867,51867,51867
2015-05-14,54778,54778,54778,54778,54778
2015-05-15,63952,63952,63952,63952,63952
2015-05-16,76005,76005,76005,76005,76005
2015-05-17,61746,61746,61746,61746,61746
2015-05-18,46820,46820,46820,46820,46820
2015-05-19,48032,48032,48032,48032,48032
2015-05-20,51229,51229,51229,51229,51229
2015-05-21,54937,54937,54937,54937,54937
2015-05-22,60792,60792,60792,60792,60792
2015-05-23,64720,64720,64720,64720,64720
2015-05-24,57034,57034,57034,57034,57034
2015-05-25,44000,44000,44000,44000,44000
2015-05-26,44578,44578,44578,44578,44578
2015-05-27,49071,49071,49071,49071,49071
2015-05-28,52336,52336,52336,52336,52336
2015-05-29,61282,61282,61282,61282,61282
2015-05-30,73086,73086,73086,73086,73086
2015-05-31,63944,63944,63944,63944,63944
2015-06-01,51549,51549,51549,51549,51549
2015-06-02,49962,49962,49962,49962,49962
2015-06-03,50311,50311,50311,50311,50311
2015-06-04,53318,53318,53318,53318,53318
2015-06-05,63653,63653,63653,63653,63653
2015-06-06,73271,73271,73271,73271,73271
2015-06-07,64186,64186,64186,64186,64186
2015-06-08,45686,45686,45686,45686,45686
2015-06-09,45376,45376,45376,45376,45376
2015-06-10,48296,48296,48296,48296,48296
2015-06-11,54240,54240,54240,54240,54240
2015-06-12,62623,62623,62623,62623,62623
2015-06-13,69740,69740,69740,69740,69740
2015-06-14,63489,63489,63489,63489,63489
2015-06-15,46807,46807,46807,46807,46807
2015-06-16,45704,45704,45704,45704,45704
2015-06-17,49082,49082,49082,49082,49082
2015-06-18,50191,50191,50191,50191,50191
2015-06-19,59705,59705,59705,59705,59705
2015-06-20,67109,67109,67109,67109,67109
2015-06-21,60339,60339,60339,60339,60339
2015-06-22,44124,44124,44124,44124,44124
2015-06-23,47747,47747,47747,47747,47747
2015-06-24,48234,48234,48234,48234,48234
2015-06-25,51862,51862,51862,51862,51862
2015-06-26,58371,58371,58371,58371,58371
2015-06-27,74883,74883,74883,74883,74883
2015-06-28,54632,54632,54632,54632,54632
2015-06-29,41397,41397,41397,41397,41397
2015-06-30,42981,42981,42981,42981,42981
